course_id,title,subject,level,rating,tags,description
C1,Intro to Data Science,Data Science,Beginner,4.6,"data;python;pandas","Foundations of data science using Python and pandas."
C2,Statistics for Data Analysis,Data Science,Intermediate,4.5,"statistics;probability;math","Statistical methods for analyzing real-world datasets."
C3,NLP Fundamentals,AI/ML,Intermediate,4.4,"nlp;text;transformers","Natural Language Processing basics and practical examples."
C4,Python for Everybody,Programming,Beginner,4.8,"python;programming;basics","A complete beginner-friendly intro to Python."
C5,Machine Learning A-Z,AI/ML,Intermediate,4.7,"ml;supervised;unsupervised","Comprehensive ML workflows and algorithms."
C6,Deep Learning Advanced,AI/ML,Advanced,4.9,"deep learning;cnn;rnn","Advanced deep learning architectures and practice."
C7,Web Development Bootcamp,Web Development,Beginner,4.7,"html;css;javascript","Build full-stack web applications from scratch."
C8,Database Design and SQL,Databases,Intermediate,4.5,"sql;database;postgresql","Design relational schemas and query with SQL."
C9,Cloud Computing with AWS,Cloud,Intermediate,4.6,"aws;cloud;devops","Core AWS services and cloud architecture."
C10,Introduction to Python,Programming,Beginner,4.7,"python;coding","Start coding with Python basics."
C11,Machine Learning Essentials,AI/ML,Intermediate,4.6,"ml;ai;data","Core ML algorithms and applications."
C12,Web Development - React,Web Development,Intermediate,4.5,"react;javascript;frontend","Modern front-end development with React."
C13,Data Visualization with Tableau,Data Science,Beginner,4.7,"tableau;visualization;dashboard","Create dashboards and visual stories."
C14,Cybersecurity Basics,Cybersecurity,Beginner,4.4,"security;network","Understand security threats and defenses."
C15,UI/UX Design Principles,Design,Beginner,4.6,"design;ux","Learn user-centered design principles."
C16,Business Analytics,Business,Intermediate,4.3,"analytics;business","Make data-driven business decisions."
C17,Time Series Analysis,Data Science,Advanced,4.5,"time series;forecasting","Forecasting and modeling time-indexed data."
C18,Data Engineering with Spark,Data Engineering,Advanced,4.6,"spark;etl;big data","Building scalable data pipelines with Spark."
C19,Intro to DevOps,DevOps,Beginner,4.4,"devops;ci/cd;automation","Principles of CI/CD and automation."
C20,Tableau for Analysts,Data Science,Intermediate,4.5,"tableau;viz;business intelligence","Hands-on Tableau for business analysis."
C21,Project Management Essentials,Business,Beginner,4.2,"project management;agile","Key project management concepts and agile practices."
